[591127][14:40:41:081676][info  ] ----- RMM LOG BEGIN [PTDS ENABLED] -----
[591127][14:40:41:081702][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591127][14:40:42:089299][error ] [A][Stream 0x0][Upstream 4096B][FAILURE maximum pool size exceeded]
[591127][14:40:42:089490][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591127][14:40:43:093992][error ] [A][Stream 0x0][Upstream 4096B][FAILURE maximum pool size exceeded]
[591127][14:40:43:094176][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591408][14:40:44:273672][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591415][14:40:45:288798][error ] [A][Stream 0x0][Upstream 4096B][FAILURE maximum pool size exceeded]
[591416][14:40:45:289361][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591416][14:40:45:299414][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591438][14:40:46:306211][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591447][14:40:47:338781][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591468][14:40:48:404167][error ] [A][Stream 0x0][Upstream 4096B][FAILURE maximum pool size exceeded]
[591469][14:40:48:405452][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591469][14:40:48:406318][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
[591498][14:40:49:414484][error ] [A][Stream 0x0][Upstream 256B][FAILURE maximum pool size exceeded]
